Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-08,ABBOTINDIA,EQ,783.75,755.0,807.0,755.0,807.0,807.0,784.12,51.0,3998995000.0,,50.0,0.9804
2010-01-11,ABBOTINDIA,EQ,807.0,825.0,825.0,790.0,804.8,804.8,793.9,897.0,71212650000.0,,697.0,0.777
2010-01-12,ABBOTINDIA,EQ,804.8,800.0,805.0,790.0,790.0,790.0,799.36,426.0,34052605000.0,,401.0,0.9413
2010-01-13,ABBOTINDIA,EQ,790.0,787.0,787.0,720.0,767.0,767.0,758.53,359.0,27231290000.0,,164.0,0.4568
2010-01-14,ABBOTINDIA,EQ,767.0,769.0,798.0,769.0,785.1,785.1,791.73,317.0,25097850000.0,,122.0,0.3849
2010-01-15,ABBOTINDIA,EQ,785.1,768.5,805.0,768.5,798.7,797.05,798.21,6965.0,555950010000.0,,5069.0,0.7278
2010-01-18,ABBOTINDIA,EQ,797.05,808.0,808.0,791.0,800.0,799.55,800.12,140.0,11201675000.0,,109.0,0.7786
2010-01-19,ABBOTINDIA,EQ,799.55,804.0,805.0,791.5,791.5,792.4,802.6,2420.0,194229845000.0,,2359.0,0.9748
2010-01-20,ABBOTINDIA,EQ,792.4,800.9,800.9,783.25,787.55,786.45,793.07,527.0,41795025000.0,,158.0,0.2998
2010-01-21,ABBOTINDIA,EQ,786.45,751.0,800.0,751.0,784.0,780.0,779.69,980.0,76409590000.0,,951.0,0.9704
2010-01-22,ABBOTINDIA,EQ,780.0,775.0,780.0,736.1,780.0,780.0,770.71,400.0,30828290000.0,,270.0,0.675
2010-01-25,ABBOTINDIA,EQ,780.0,765.0,787.95,745.0,753.7,753.7,761.74,818.0,62309955000.00001,,649.0,0.7934000000000001
2010-01-27,ABBOTINDIA,EQ,753.7,765.0,765.0,751.0,752.9,752.35,759.36,558.0,42372140000.0,,428.0,0.767
2010-01-28,ABBOTINDIA,EQ,752.35,752.35,765.0,741.0,754.9,752.45,748.8,125.0,9360045000.0,,49.0,0.392
2010-01-29,ABBOTINDIA,EQ,752.45,750.0,750.0,730.0,730.0,730.0,736.87,132.0,9726675000.0,,90.0,0.6818000000000001
2010-02-01,ABBOTINDIA,EQ,730.0,697.1,782.0,697.1,753.0,753.35,748.38,792.0,59271775000.0,,346.0,0.4369
2010-02-02,ABBOTINDIA,EQ,753.35,800.0,800.0,765.0,770.05,770.35,784.11,1572.0,123261960000.0,,673.0,0.4281
2010-02-03,ABBOTINDIA,EQ,770.35,764.0,783.0,764.0,781.0,779.25,774.09,1095.0,84762980000.0,,685.0,0.6256
2010-02-04,ABBOTINDIA,EQ,779.25,778.15,794.9,770.2,776.7,775.15,775.77,325.0,25212480000.0,,255.0,0.7846
2010-02-05,ABBOTINDIA,EQ,775.15,772.25,772.25,740.1,759.9,755.2,751.83,390.0,29321400000.0,,229.0,0.5872
2010-02-06,ABBOTINDIA,EQ,755.2,775.0,775.0,741.65,751.95,751.95,755.01,124.0,9362125000.0,,106.0,0.8548
2010-02-08,ABBOTINDIA,EQ,751.95,765.05,770.0,756.0,758.15,760.25,761.16,344.0,26183810000.0,,216.0,0.6279
2010-02-09,ABBOTINDIA,EQ,760.25,766.0,789.0,760.1,789.0,786.5,771.42,498.0,38416785000.0,,164.0,0.3293
2010-02-10,ABBOTINDIA,EQ,786.5,785.0,795.0,780.0,785.05,785.05,783.07,794.0,62175440000.0,,781.0,0.9836
2010-02-11,ABBOTINDIA,EQ,785.05,795.0,814.0,792.05,798.0,801.25,799.79,1051.0,84058350000.0,,964.0,0.9172
2010-02-15,ABBOTINDIA,EQ,801.25,810.0,810.0,775.0,785.0,785.45,789.07,1790.0,141242950000.0,,1613.0,0.9011
2010-02-16,ABBOTINDIA,EQ,785.45,799.95,799.95,784.15,792.0,788.7,787.1,2148.0,169068920000.0,,2041.0,0.9502
2010-02-17,ABBOTINDIA,EQ,788.7,804.0,810.0,789.35,803.55,803.65,802.87,1737.0,139459200000.0,,1343.0,0.7732
2010-02-18,ABBOTINDIA,EQ,803.65,809.85,914.45,808.0,866.0,871.1,880.83,38206.0,3365310935000.0,,6382.0,0.167
2010-02-19,ABBOTINDIA,EQ,871.1,860.0,884.95,845.0,860.0,865.95,865.17,11640.0,1007054005000.0,,4779.0,0.4106
2010-02-22,ABBOTINDIA,EQ,865.95,880.0,890.0,874.5,880.0,880.2,881.21,3271.0,288242395000.0,,2121.0,0.6484000000000001
2010-02-23,ABBOTINDIA,EQ,880.2,893.0,928.0,872.0,917.8,914.15,908.66,11868.0,1078401845000.0,,3235.0,0.2726
2010-02-24,ABBOTINDIA,EQ,914.15,920.0,940.0,910.0,926.45,923.4,926.71,8727.0,808738480000.0,,3473.0,0.398
2010-02-25,ABBOTINDIA,EQ,923.4,939.0,939.6,910.0,915.0,916.2,918.78,5490.0,504409270000.0,,2831.0,0.5157
2010-02-26,ABBOTINDIA,EQ,916.2,862.05,919.95,862.05,908.0,907.3,901.36,1890.0,170357435000.0,,880.0,0.4656
2010-03-02,ABBOTINDIA,EQ,907.3,949.4,949.4,892.0,900.0,898.2,901.11,6883.0,620233105000.0,,4240.0,0.616
2010-03-03,ABBOTINDIA,EQ,898.2,900.0,900.0,863.0,869.1,869.95,877.32,8592.0,753797050000.0,,5418.0,0.6306
2010-03-04,ABBOTINDIA,EQ,869.95,883.9,900.0,865.0,895.0,889.75,892.4,6626.0,591306655000.0,,3903.0,0.589
2010-03-05,ABBOTINDIA,EQ,889.75,895.0,895.0,881.25,881.25,885.7,890.08,592.0,52692505000.00001,,464.0,0.7837999999999999
2010-03-08,ABBOTINDIA,EQ,885.7,889.85,899.9,885.0,892.0,892.2,891.77,2000.0,178353925000.0,,1426.0,0.713
2010-03-09,ABBOTINDIA,EQ,892.2,888.0,895.0,873.2,885.65,875.1,884.59,415.0,36710570000.0,,230.0,0.5542
2010-03-10,ABBOTINDIA,EQ,875.1,890.0,890.0,867.25,870.0,870.0,882.61,1341.0,118358260000.0,,1188.0,0.8859
2010-03-11,ABBOTINDIA,EQ,870.0,853.3,884.0,853.3,873.95,868.45,874.97,532.0,46548420000.0,,326.0,0.6128
2010-03-12,ABBOTINDIA,EQ,868.45,860.05,889.9,860.05,880.05,880.3,875.41,669.0,58565160000.0,,535.0,0.7997
2010-03-15,ABBOTINDIA,EQ,880.3,865.55,880.0,862.0,864.95,864.8,870.55,887.0,77217750000.0,,686.0,0.7734000000000001
2010-03-16,ABBOTINDIA,EQ,864.8,865.0,930.0,864.95,901.0,895.85,909.81,13443.0,1223054180000.0,,4507.0,0.3353
2010-03-17,ABBOTINDIA,EQ,895.85,908.9,915.0,893.3,905.0,904.85,906.21,1858.0,168374505000.0,,1555.0,0.8369
2010-03-18,ABBOTINDIA,EQ,904.85,905.0,905.0,880.1,881.25,882.05,892.37,541.0,48277105000.0,,237.0,0.4381
2010-03-19,ABBOTINDIA,EQ,882.05,880.05,899.9,880.05,888.0,891.35,889.34,632.0,56206110000.0,,425.0,0.6725
2010-03-22,ABBOTINDIA,EQ,891.35,896.0,925.05,895.0,901.25,905.6,912.83,4170.0,380648310000.0,,2960.0,0.7098000000000001
2010-03-23,ABBOTINDIA,EQ,905.6,873.15,925.0,873.15,906.25,905.9,909.14,2166.0,196919395000.0,,1726.0,0.7968999999999999
2010-03-25,ABBOTINDIA,EQ,905.9,910.0,920.0,890.1,890.1,891.7,903.49,2295.0,207350300000.0,,1131.0,0.4928
2010-03-26,ABBOTINDIA,EQ,891.7,910.7,915.95,900.0,914.0,909.05,908.91,1312.0,119249645000.0,,797.0,0.6075
2010-03-29,ABBOTINDIA,EQ,909.05,925.0,934.0,910.25,912.0,913.3,922.09,7531.0,694422505000.0,,5352.0,0.7107
2010-03-30,ABBOTINDIA,EQ,913.3,915.05,920.0,870.0,881.0,887.3,902.33,2353.0,212318880000.0,,1376.0,0.5848
2010-03-31,ABBOTINDIA,EQ,887.3,885.0,897.85,883.0,883.0,883.5,885.32,8511.0,753497695000.0,,7864.0,0.924
2010-04-01,ABBOTINDIA,EQ,883.5,888.25,915.0,885.65,887.0,898.45,898.91,1583.0,142297275000.0,,896.0,0.5660000000000001
2010-04-05,ABBOTINDIA,EQ,898.45,905.0,914.0,888.0,905.0,906.1,904.08,1146.0,103607685000.0,,668.0,0.5829
2010-04-06,ABBOTINDIA,EQ,906.1,895.05,905.05,890.6,890.6,893.15,900.36,1740.0,156662050000.0,,1514.0,0.8701000000000001
2010-04-07,ABBOTINDIA,EQ,893.15,915.95,916.0,900.05,902.1,905.05,906.49,1218.0,110410775000.0,,798.0,0.6552
2010-04-08,ABBOTINDIA,EQ,905.05,895.0,910.95,895.0,900.5,902.2,900.51,733.0,66007260000.0,,501.0,0.6835
2010-04-09,ABBOTINDIA,EQ,902.2,872.05,907.5,872.05,886.0,890.2,894.68,1676.0,149948590000.0,,499.0,0.2977
